TSI NO,MAINTAINED BY,PRIMARY STREET NAME,SECONDARY STREET NAME,SIGNAL TYPE,PEDESTRIAN SIGNAL,GEOLOCATION
C-048,CITY-PARISH,FAIRFIELDS ST,38TH ST,SIGNAL,NO,POINT (-91.15234987106 30.467175800527)
C-069,CITY-PARISH,GREENWELL ST,SILVERLEAF AVE,SIGNAL,YES,POINT (-91.1252918977 30.502398271705)
C-018,CITY-PARISH,CHOCTAW DR,LOBDELL BLVD,SIGNAL,NO,POINT (-91.122818122208 30.471104687412)
C-032,CITY-PARISH,CONVENTION ST,6TH ST,SIGNAL,YES,POINT (-91.184675916146 30.448359903249)
C-005,CITY-PARISH,ACADIAN THWY W,CHOCTAW DR,SIGNAL,NO,POINT (-91.156466438335 30.470155230829)
C-002,CITY-PARISH,ACADIAN THWY E,FAIRFIELDS AVE,SIGNAL,NO,POINT (-91.155355902284 30.467074744156)
C-051,CITY-PARISH,FOSTER DR,CHOCTAW DR,SIGNAL,YES,POINT (-91.14007548382 30.470585703601)
C-058,CITY-PARISH,FUQUA ST,19TH ST,SIGNAL,NO,POINT (-91.169677143182 30.457290981289)
C-061,CITY-PARISH,GOODWOOD BLVD,E AIRPORT AVE,SIGNAL,NO,POINT (-91.102031352467 30.442416124088)
C-313,CITY-PARISH,NICHOLSON DR,N STADIUM RD,SIGNAL,YES,POINT (-91.186651099669 30.412811361996)
C-298,CITY-PARISH,CHURCH ST,NEWELL ST,SIGNAL,NO,POINT (-91.179140938703 30.653013935104)
S-014,STATE,LA 19,THOMAS RD,SIGNAL,NO,POINT (-91.173798554171 30.558711724762)
S-379,CITY-PARISH,BURBANK DR,BEN HUR RD,SIGNAL,NO,POINT (-91.157324436002 30.387986707587)
S-250,CITY-PARISH,FLORIDA BLVD,MARILYN DR,SIGNAL,NO,POINT (-91.07695105933 30.45578916924)
C-288,CITY-PARISH,PERKINS RD,OAKDALE DR,SIGNAL,YES,POINT (-91.086179111508 30.372090441617)
S-377,CITY-PARISH,BURBANK DR,PARKER BLVD,SIGNAL,YES,POINT (-91.176579908204 30.401831050352)
S-344,CITY-PARISH,BLUEBONNET BLVD,ANSELMO LN,SIGNAL,NO,POINT (-91.093873435861 30.387306819586)
S-297,STATE,JEFFERSON HWY,FLOYNELL DR,SIGNAL,NO,POINT (-91.073469220654 30.409886134442)
S-382,CITY-PARISH,JEFFERSON HWY,ANTIOCH RD,SIGNAL,NO,POINT (-91.010542404209 30.369877148406)
